,x,y,count
0,0.0,0.0,3405
1,0.0,0.25,3017
2,0.0,0.5,2541
3,0.0,0.75,1714
4,0.0,1.0,578
5,0.0,1.25,315
6,0.0,1.5,30
7,0.0,1.75,22
8,0.0,2.0,2
9,0.0,2.25,0
10,0.0,2.5,0
11,0.0,2.75,0
12,0.0,3.0,0
13,0.0,3.25,0
14,0.0,3.5,0
15,0.0,3.75,0
16,0.25,0.0,4777
17,0.25,0.25,4284
18,0.25,0.5,4599
19,0.25,0.75,3898
20,0.25,1.0,2020
21,0.25,1.25,991
22,0.25,1.5,392
23,0.25,1.75,57
24,0.25,2.0,24
25,0.25,2.25,2
26,0.25,2.5,0
27,0.25,2.75,0
28,0.25,3.0,0
29,0.25,3.25,0
30,0.25,3.5,0
31,0.25,3.75,0
32,0.5,0.0,5068
33,0.5,0.25,5454
34,0.5,0.5,6335
35,0.5,0.75,5413
36,0.5,1.0,4153
37,0.5,1.25,2412
38,0.5,1.5,623
39,0.5,1.75,65
40,0.5,2.0,5
41,0.5,2.25,0
42,0.5,2.5,0
43,0.5,2.75,0
44,0.5,3.0,0
45,0.5,3.25,0
46,0.5,3.5,0
47,0.5,3.75,0
48,0.75,0.0,4130
49,0.75,0.25,4633
50,0.75,0.5,6908
51,0.75,0.75,7356
52,0.75,1.0,4524
53,0.75,1.25,2925
54,0.75,1.5,1113
55,0.75,1.75,246
56,0.75,2.0,7
57,0.75,2.25,3
58,0.75,2.5,0
59,0.75,2.75,0
60,0.75,3.0,0
61,0.75,3.25,0
62,0.75,3.5,0
63,0.75,3.75,0
64,1.0,0.0,3836
65,1.0,0.25,4131
66,1.0,0.5,5520
67,1.0,0.75,5860
68,1.0,1.0,4736
69,1.0,1.25,2825
70,1.0,1.5,1308
71,1.0,1.75,276
72,1.0,2.0,1
73,1.0,2.25,2
74,1.0,2.5,0
75,1.0,2.75,0
76,1.0,3.0,0
77,1.0,3.25,0
78,1.0,3.5,0
79,1.0,3.75,0
80,1.25,0.0,2862
81,1.25,0.25,3079
82,1.25,0.5,4071
83,1.25,0.75,4741
84,1.25,1.0,3535
85,1.25,1.25,1876
86,1.25,1.5,565
87,1.25,1.75,235
88,1.25,2.0,2
89,1.25,2.25,0
90,1.25,2.5,0
91,1.25,2.75,0
92,1.25,3.0,0
93,1.25,3.25,0
94,1.25,3.5,0
95,1.25,3.75,0
96,1.5,0.0,2649
97,1.5,0.25,2882
98,1.5,0.5,3220
99,1.5,0.75,3477
100,1.5,1.0,2919
101,1.5,1.25,1474
102,1.5,1.5,602
103,1.5,1.75,74
104,1.5,2.0,13
105,1.5,2.25,1
106,1.5,2.5,1
107,1.5,2.75,0
108,1.5,3.0,0
109,1.5,3.25,0
110,1.5,3.5,0
111,1.5,3.75,0
112,1.75,0.0,1533
113,1.75,0.25,1744
114,1.75,0.5,2135
115,1.75,0.75,2008
116,1.75,1.0,1514
117,1.75,1.25,758
118,1.75,1.5,242
119,1.75,1.75,123
120,1.75,2.0,12
121,1.75,2.25,7
122,1.75,2.5,0
123,1.75,2.75,0
124,1.75,3.0,0
125,1.75,3.25,0
126,1.75,3.5,0
127,1.75,3.75,0
128,2.0,0.0,343
129,2.0,0.25,794
130,2.0,0.5,935
131,2.0,0.75,863
132,2.0,1.0,786
133,2.0,1.25,167
134,2.0,1.5,95
135,2.0,1.75,51
136,2.0,2.0,5
137,2.0,2.25,13
138,2.0,2.5,0
139,2.0,2.75,0
140,2.0,3.0,0
141,2.0,3.25,0
142,2.0,3.5,0
143,2.0,3.75,0
144,2.25,0.0,19
145,2.25,0.25,92
146,2.25,0.5,287
147,2.25,0.75,153
148,2.25,1.0,128
149,2.25,1.25,113
150,2.25,1.5,37
151,2.25,1.75,18
152,2.25,2.0,14
153,2.25,2.25,1
154,2.25,2.5,2
155,2.25,2.75,0
156,2.25,3.0,0
157,2.25,3.25,0
158,2.25,3.5,0
159,2.25,3.75,0
160,2.5,0.0,8
161,2.5,0.25,15
162,2.5,0.5,8
163,2.5,0.75,75
164,2.5,1.0,53
165,2.5,1.25,121
166,2.5,1.5,108
167,2.5,1.75,12
168,2.5,2.0,5
169,2.5,2.25,0
170,2.5,2.5,2
171,2.5,2.75,0
172,2.5,3.0,0
173,2.5,3.25,0
174,2.5,3.5,0
175,2.5,3.75,0
176,2.75,0.0,0
177,2.75,0.25,3
178,2.75,0.5,0
179,2.75,0.75,41
180,2.75,1.0,63
181,2.75,1.25,41
182,2.75,1.5,67
183,2.75,1.75,13
184,2.75,2.0,8
185,2.75,2.25,0
186,2.75,2.5,1
187,2.75,2.75,0
188,2.75,3.0,0
189,2.75,3.25,0
190,2.75,3.5,0
191,2.75,3.75,0
192,3.0,0.0,4
193,3.0,0.25,6
194,3.0,0.5,19
195,3.0,0.75,7
196,3.0,1.0,13
197,3.0,1.25,6
198,3.0,1.5,20
199,3.0,1.75,14
200,3.0,2.0,6
201,3.0,2.25,6
202,3.0,2.5,3
203,3.0,2.75,0
204,3.0,3.0,0
205,3.0,3.25,0
206,3.0,3.5,0
207,3.0,3.75,0
208,3.25,0.0,0
209,3.25,0.25,5
210,3.25,0.5,0
211,3.25,0.75,0
212,3.25,1.0,0
213,3.25,1.25,21
214,3.25,1.5,17
215,3.25,1.75,18
216,3.25,2.0,10
217,3.25,2.25,0
218,3.25,2.5,3
219,3.25,2.75,0
220,3.25,3.0,0
221,3.25,3.25,0
222,3.25,3.5,0
223,3.25,3.75,0
224,3.5,0.0,0
225,3.5,0.25,0
226,3.5,0.5,0
227,3.5,0.75,0
228,3.5,1.0,0
229,3.5,1.25,2
230,3.5,1.5,8
231,3.5,1.75,10
232,3.5,2.0,3
233,3.5,2.25,3
234,3.5,2.5,0
235,3.5,2.75,2
236,3.5,3.0,0
237,3.5,3.25,0
238,3.5,3.5,0
239,3.5,3.75,0
240,3.75,0.0,0
241,3.75,0.25,0
242,3.75,0.5,0
243,3.75,0.75,0
244,3.75,1.0,2
245,3.75,1.25,4
246,3.75,1.5,3
247,3.75,1.75,3
248,3.75,2.0,6
249,3.75,2.25,0
250,3.75,2.5,0
251,3.75,2.75,1
252,3.75,3.0,0
253,3.75,3.25,0
254,3.75,3.5,0
255,3.75,3.75,0
